,frame,x,y,z,bodypart
77,3.0,0.044876842751340004,-0.24134436869154435,0.0170243949130673,ring2
78,3.0,0.028477876254809603,-0.23301063478570727,0.004001138846382597,ring3
79,3.0,0.017682836616889908,-0.23593192728372883,-0.014776804430565033,ring4
80,3.0,0.08545223361692059,-0.26878201836021015,0.0015268487672174327,little1
81,3.0,0.05636695993823829,-0.244019759649595,-0.0035876505184476645,little2
82,3.0,,,,little3
83,3.0,0.04182572907683739,-0.23204205018340146,-0.0023978274894018575,little4
84,4.0,,,,elbow
85,4.0,0.08109386522433674,-0.33807276654430374,-0.015396232520689765,wrist
86,4.0,0.0027885531228881155,-0.3096704495585345,-0.007475889791953627,thumb1
87,4.0,-0.012713010134771732,-0.2847429200967871,-0.007765381555000242,thumb2
88,4.0,-0.02138334192076026,-0.26072855387460986,-0.009924967451814815,thumb3
